content,label,clean_text,label_num
"HONG KONG (Dow Jones)--China Mobile (Hong Kong) Ltd. (CHL), the listed unit of China #39;s biggest cellular phone operator, posted Wednesday a 7.8 rise in first-half net profit on a 23 increase in its subscriber base.",Business,"['hong', 'kong', 'dow', 'jone', 'china', 'mobil', 'hong', 'kong', 'chl', 'list', 'unit', 'china', 'biggest', 'cellular', 'phone', 'oper', 'post', 'wednesday', 'rise', 'first-half', 'net', 'profit', 'increas', 'subscrib', 'base']",0
"NEW YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; on Wednesday said  the U.S. Justice Department has closed an inquiry into  potential antitrust issues regarding a key ingredient used in  its Roundup herbicide.",Business,"['new', 'york', 'reuter', 'monsanto', 'mon', 'wednesday', 'justic', 'depart', 'close', 'inquiri', 'potenti', 'antitrust', 'issu', 'regard', 'key', 'ingredi', 'use', 'roundup', 'herbicid']",0
Cox Communications Inc. #39;s board of directors has formed a special committee of independent directors to consider Cox Enterprises Inc. #39;s proposal to take the company private in a \$8 billion stock buyout.,Business,"['cox', 'communic', 'board', 'director', 'form', 'special', 'committe', 'independ', 'director', 'consid', 'cox', 'enterpris', 'propos', 'compani', 'privat', 'billion', 'stock', 'buyout']",0
AP - Discount retailer Ross Stores Inc. Wednesday said its profit fell about 40 percent in the latest quarter due to problems with a new computer system that limited the company's ability to respond to changes in customer demand.,Business,"['discount', 'retail', 'ross', 'store', 'wednesday', 'profit', 'fell', 'percent', 'latest', 'quarter', 'problem', 'new', 'comput', 'limit', 'compani', 'abil', 'respond', 'chang', 'custom', 'demand']",0
"NEW YORK (Reuters) - Kroger Co., the top U.S. grocer, on  Tuesday posted a 29 percent rise in quarterly profit due to  cost controls, but price cuts to lure shoppers caused earnings  to miss Wall Street estimates and shares fell.",Business,"['new', 'york', 'reuter', 'kroger', 'grocer', 'tuesday', 'post', 'percent', 'rise', 'quarter', 'profit', 'cost', 'control', 'price', 'cut', 'lure', 'shopper', 'caus', 'earn', 'miss', 'wall', 'street', 'estim', 'share', 'fell']",0
"CHICAGO (Reuters) - U.S. airlines have agreed to limit  flights into Chicago's O'Hare International Airport to 88  arrivals per hour between 7 a.m. and 8 p.m. in an effort to cut  congestion that has slowed the whole U.S. aviation system,  federal officials said on Wednesday.",Business,"['chicago', 'reuter', 'airlin', 'agre', 'limit', 'flight', 'chicago', ""o'har"", 'intern', 'airport', 'arriv', 'hour', 'm', 'p', 'm', 'effort', 'cut', 'congest', 'slow', 'aviat', 'feder', 'offici', 'wednesday']",0
"CHICAGO (Reuters) - Medtronic Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MDT.N target=/stocks/quickinfo/fullquote""&gt;MDT.N&lt;/A&gt; on Wednesday  said its quarterly earnings rose amid brisk demand for devices  that manage irregular heart beats and products used to treat  the spine.",Business,"['chicago', 'reuter', 'medtron', 'mdt', 'wednesday', 'quarter', 'earn', 'rose', 'amid', 'brisk', 'demand', 'devic', 'manag', 'irregular', 'heart', 'beat', 'product', 'use', 'treat', 'spine']",0
Federal officials today announced plans to temporarily cut 37 flights operating at Chicago's O'Hare International Airport to help reduce the delay problems that ripple across the country.,Business,"['feder', 'offici', 'today', 'announc', 'plan', 'temporarili', 'cut', 'flight', 'oper', 'chicago', ""o'har"", 'intern', 'airport', 'help', 'reduc', 'delay', 'problem', 'rippl', 'countri']",0
"CHICAGO (Reuters) - Medtronic Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MDT.N target=/stocks/quickinfo/fullquote""&gt;MDT.N&lt;/A&gt; on Wednesday  said its quarterly earnings rose on brisk demand for devices  that manage irregular heart beats and products used to treat  the spine.",Business,"['chicago', 'reuter', 'medtron', 'mdt', 'wednesday', 'quarter', 'earn', 'rose', 'brisk', 'demand', 'devic', 'manag', 'irregular', 'heart', 'beat', 'product', 'use', 'treat', 'spine']",0
"Health care and consumer products maker Johnson  amp; Johnson (JNJ.N: Quote, Profile, Research) is in negotiations to acquire medical-device maker Guidant Corp.",Business,"['health', 'care', 'consum', 'product', 'maker', 'johnson', 'amp', 'johnson', 'jnj', 'quot', 'profil', 'research', 'negoti', 'acquir', 'medical-devic', 'maker', 'guidant', 'corp']",0
Australian insurer AMP returned to the black in the first half of the year with net profits of A\$378m (150m) after a disastrous foray into Britain pushed it A\$2.16 billion into the red last year.,Business,"['australian', 'insur', 'amp', 'return', 'black', 'half', 'year', 'net', 'profit', 'm', 'm', 'disastr', 'foray', 'britain', 'push', 'billion', 'red', 'year']",0
Descriptions of urban afflictions and images of giant mosquitoes and cockroaches to convey a sense of how Houston is nevertheless beloved by many residents.,Business,"['descript', 'urban', 'afflict', 'imag', 'giant', 'mosquito', 'cockroach', 'convey', 'sens', 'houston', 'belov', 'mani', 'resid']",0
Credit Suisse Group announced plans to merge its Credit Suisse First Boston Securities unit with the rest of the company #39;s operations and cut as many as 300 jobs.,Business,"['credit', 'suiss', 'group', 'announc', 'plan', 'merg', 'credit', 'suiss', 'boston', 'secur', 'unit', 'rest', 'compani', 'oper', 'cut', 'mani', 'job']",0
Reuters - U.S. shoppers have kept a tight grip\on their wallets this holiday season with indices on Tuesday\showing sluggish sales in the second week of the  season.,Business,"['reuter', 'shopper', 'kept', 'tight', 'grip', 'wallet', 'holiday', 'season', 'indic', 'tuesday', 'sluggish', 'sale', 'second', 'week', 'season']",0
"Hurricane Charley, the worst storm to hit the US in over a decade, will cost insurers just \$7.4bn, one insurance expert estimates.",Business,"['hurrican', 'charley', 'worst', 'storm', 'hit', 'decad', 'cost', 'insur', 'just', 'bn', 'insur', 'expert', 'estim']",0
Bank of America Corp. yesterday laid off hundreds of workers at Fleet bank branches across the Northeast as the North Carolina bank began to implement its brand of ...,Business,"['bank', 'america', 'corp', 'yesterday', 'laid', 'hundr', 'worker', 'fleet', 'bank', 'branch', 'northeast', 'north', 'carolina', 'bank', 'began', 'implement', 'brand']",0
"Being freelance wine critics may sound like a sweet gig, but Ray and Eleanor Heald have soured on it. Because their home state, Michigan, blocks direct shipments from out-of-state",Business,"['freelanc', 'wine', 'critic', 'sound', 'like', 'sweet', 'gig', 'ray', 'eleanor', 'heald', 'sour', 'becaus', 'home', 'state', 'michigan', 'block', 'direct', 'shipment', 'out-of-st']",0
"WASHINGTON -- The price of oil charged to a new high above \$47 a barrel yesterday amid nagging concerns about instability in Iraq, the uncertain fate of Russian petroleum giant Yukos, and the world's limited supply cushion.",Business,"['washington', 'price', 'oil', 'charg', 'new', 'high', 'abov', 'barrel', 'yesterday', 'amid', 'nag', 'concern', 'instabl', 'iraq', 'uncertain', 'fate', 'russian', 'petroleum', 'giant', 'yuko', 'world', 'limit', 'suppli', 'cushion']",0
"NEW YORK (Reuters) - Shares of Google Inc. will make their  Nasdaq stock market debut on Thursday after the year's most  anticipated initial public offering priced far below initial  estimates, raising \$1.67 billion.",Business,"['new', 'york', 'reuter', 'share', 'googl', 'make', 'nasdaq', 'stock', 'market', 'debut', 'thursday', 'year', 'anticip', 'initi', 'public', 'offer', 'price', 'far', 'initi', 'estim', 'rais', 'billion']",0
"Australia #39;s flagship carrier Qantas Airways has reported a record annual net profit but warned oil prices threatened its performance, increasing the chance of a hike in ticket price surcharges to offset its fuel bill.",Business,"['australia', 'flagship', 'carrier', 'qanta', 'airway', 'report', 'record', 'annual', 'net', 'profit', 'warn', 'oil', 'price', 'threaten', 'perform', 'increas', 'chanc', 'hike', 'ticket', 'price', 'surcharg', 'offset', 'fuel']",0
"The state of Maine, Rite Aid Corp., and Community Pharmacy LP have agreed to a consent decree placing conditions on the sale of five Community Pharmacy stores to Rite Aid.",Business,"['state', 'main', 'rite', 'aid', 'corp', 'communiti', 'pharmaci', 'lp', 'agre', 'consent', 'decre', 'place', 'condit', 'sale', 'communiti', 'pharmaci', 'store', 'rite', 'aid']",0
"MARK COLVIN: Qantas might have posted yet another record profit, but the national carrier #39;s boss, Geoff Dixon, claims earnings are being hampered by unfair subsidies for international carriers allowed to fly in and out of Australia.",Business,"['mark', 'colvin', 'qanta', 'post', 'anoth', 'record', 'profit', 'nation', 'carrier', 'boss', 'geoff', 'dixon', 'claim', 'earn', 'hamper', 'unfair', 'subsidi', 'intern', 'carrier', 'allow', 'fli', 'australia']",0
"LONDON (Reuters) - Oil prices struck a fresh record above  \$48 a barrel on Thursday, spurred higher by renewed violence in  Iraq and fresh evidence that strong demand growth in China and  India has not been slowed yet by higher energy costs.",Business,"['london', 'reuter', 'oil', 'price', 'struck', 'fresh', 'record', 'abov', 'barrel', 'thursday', 'spur', 'higher', 'renew', 'violenc', 'iraq', 'fresh', 'evid', 'strong', 'demand', 'growth', 'china', 'india', 'slow', 'higher', 'energi', 'cost']",0
"A closely watched measure of future economic activity fell in July for the second consecutive month, reinforcing evidence that the nation's financial recovery is slackening.",Business,"['close', 'watch', 'measur', 'futur', 'econom', 'activ', 'fell', 'juli', 'second', 'consecut', 'month', 'reinforc', 'evid', 'nation', 'financi', 'recoveri', 'slacken']",0
"NEW YORK (Reuters) - Colgate-Palmolive Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CL.N target=/stocks/quickinfo/fullquote""&gt;CL.N&lt;/A&gt; will cut  about 4,400 jobs, or 12 percent of its work force, and close  nearly a third of its factories under a restructuring, the  consumer products company said on Tuesday.",Business,"['new', 'york', 'reuter', 'colgate-palmol', 'cl', 'cut', 'job', 'percent', 'work', 'forc', 'close', 'near', 'factori', 'restructur', 'consum', 'product', 'compani', 'tuesday']",0
"AP - Ohio authorities sued Best Buy Co. Inc. on Thursday, alleging the electronics retailer engaged in unfair and deceptive business practices.",Business,"['ohio', 'author', 'su', 'best', 'buy', 'thursday', 'alleg', 'electron', 'retail', 'engag', 'unfair', 'decept', 'busi', 'practic']",0
"China is interested in participating in the bidding for Yuganskneftegaz, the top oil-producing subsidiary of the Russian oil giant Yukos, a Chinese economic official was quoted as saying in a report Thursday by the Russian news agency Interfax. The ...",Business,"['china', 'particip', 'bid', 'yuganskneftegaz', 'oil-produc', 'subsidiari', 'russian', 'oil', 'giant', 'yuko', 'chines', 'econom', 'offici', 'quot', 'report', 'thursday', 'russian', 'news', 'agenc', 'interfax']",0
"Attorney General Jim Petro is suing Best Buy, alleging the electronics retailer has engaged in unfair and deceptive business practices.",Business,"['attorney', 'general', 'jim', 'petro', 'su', 'best', 'buy', 'alleg', 'electron', 'retail', 'engag', 'unfair', 'decept', 'busi', 'practic']",0
NEW YORKFewer Americans lined up to claim first-time jobless benefits last week but analysts said the modest decline said very little about the current state of the labour market.,Business,"['new', 'yorkfew', 'american', 'line', 'claim', 'first-tim', 'jobless', 'benefit', 'week', 'analyst', 'modest', 'declin', 'veri', 'littl', 'current', 'state', 'labour', 'market']",0
"Vermont's Republican governor challenged the Bush administration's prescription drug policy in federal court yesterday, marking the first time a state has chosen a legal avenue in the expanding battle over Canadian imports.",Business,"['vermont', 'republican', 'governor', 'challeng', 'bush', 'administr', 'prescript', 'drug', 'polici', 'feder', 'court', 'yesterday', 'mark', 'time', 'state', 'chosen', 'legal', 'avenu', 'expand', 'battl', 'canadian', 'import']",0
"Montana jury orders oil firm to pay up over gas pipeline leak from 1955; company plans to appeal. NEW YORK (Reuters) - A Montana jury ordered ChevronTexaco Corp., the number two US oil company, to pay \$40.3 million for environmental damage from a gasoline ...",Business,"['montana', 'juri', 'order', 'oil', 'firm', 'pay', 'gas', 'pipelin', 'leak', 'compani', 'plan', 'appeal', 'new', 'york', 'reuter', 'montana', 'juri', 'order', 'chevrontexaco', 'corp', 'number', 'oil', 'compani', 'pay', 'million', 'environment', 'damag', 'gasolin']",0
"&lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=RSE.N target=/stocks/quickinfo/fullquote""&gt;RSE.N&lt;/A&gt; jumped before the bell after General Growth  Properties Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GGP.N target=/stocks/quickinfo/fullquote""&gt;GGP.N&lt;/A&gt;, the No. 2 U.S. shopping mall owner, on  Friday said it would buy Rouse for \$7.2 billion.",Business,"['rse', 'jump', 'befor', 'bell', 'general', 'growth', 'properti', 'ggp', 'shop', 'mall', 'owner', 'friday', 'buy', 'rous', 'billion']",0
"Tertiary index comes in at almost double expectations, drives up yen and helps Nikkei overcome oil. LONDON (Reuters) - The yen hit a four-week high against the dollar Friday as stronger-than-expected Japanese service sector data raised optimism about the ...",Business,"['tertiari', 'index', 'come', 'doubl', 'expect', 'drive', 'yen', 'help', 'nikkei', 'overcom', 'oil', 'london', 'reuter', 'yen', 'hit', 'four-week', 'high', 'dollar', 'friday', 'stronger-than-expect', 'japanes', 'servic', 'sector', 'data', 'rais', 'optim']",0
"In the stock #39;s first day of trading, investors bought, sold and flipped shares at a furious pace, with the price ending just above \$100 - 18 percent higher than where it started. It was, in other words, everything the company #39;s founders, Sergy Brin and ...",Business,"['stock', 'day', 'trade', 'investor', 'bought', 'sold', 'flip', 'share', 'furious', 'pace', 'price', 'end', 'just', 'abov', 'percent', 'higher', 'start', 'word', 'everyth', 'compani', 'founder', 'sergi', 'brin']",0
"With the much-ballyhooed initial public offering of Google behind them and oil chugging to a new record high, investors took a step back today.",Business,"['much-ballyhoo', 'initi', 'public', 'offer', 'googl', 'oil', 'chug', 'new', 'record', 'high', 'investor', 'took', 'step', 'today']",0
"Closing a factory is never popular, but it's the right thing to do.",Business,"['close', 'factori', 'popular', 'right', 'thing']",0
"The latest data from the US Department of Commerce further bolsters what we have all suspected: E-commerce sales are increasing. Not only might one suspect that consumer confidence has been bolstered since last year, there ...",Business,"['latest', 'data', 'depart', 'commerc', 'bolster', 'suspect', 'e-commerc', 'sale', 'increas', 'onli', 'suspect', 'consum', 'confid', 'bolster', 'sinc', 'year']",0
"WASHINGTON (Reuters) - The U.S. Food and Drug  Administration plans to update antidepressant labels to reflect  studies that suggest a link between the drugs and suicide in  youths, but remains cautious about the strength of such ties,   according to documents released on Friday.",Business,"['washington', 'reuter', 'food', 'drug', 'administr', 'plan', 'updat', 'antidepress', 'label', 'reflect', 'studi', 'suggest', 'link', 'drug', 'suicid', 'youth', 'remain', 'cautious', 'strength', 'tie', 'accord', 'document', 'releas', 'friday']",0
UAL's United Airlines will have a 30-day extention on the period in which it can file an exclusive bankruptcy reorganization plan.,Business,"['ual', 'unit', 'airlin', 'day', 'extent', 'period', 'file', 'exclus', 'bankruptci', 'reorgan', 'plan']",0
NewsFactor - Amazon.com (Nasdaq: AMZN) has said it will buy Joyo.com Limited -- a British Virgin Islands company that operates the largest Internet retail Web site in China -- for US #36;75 million.,Business,"['newsfactor', 'amazon.com', 'nasdaq', 'amzn', 'buy', 'joyo.com', 'limit', 'british', 'virgin', 'island', 'compani', 'oper', 'largest', 'internet', 'retail', 'web', 'site', 'china', 'million']",0
"Reuters - A U.S. appeals court ruled on Friday\that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the\assets of rival Triton Coal Co. LLC, denying an emergency\request by the Federal Trade Commission to block the deal, a\spokesman for the agency said.",Business,"['reuter', 'appeal', 'court', 'rule', 'friday', 'arch', 'coal', 'aci', 'proceed', 'bid', 'buy', 'asset', 'rival', 'triton', 'coal', 'llc', 'deni', 'emerg', 'request', 'feder', 'trade', 'commiss', 'block', 'deal', 'spokesman', 'agenc']",0
"NEW YORK (Reuters) - U.S. Treasury prices paused for breath  on Tuesday after a blistering two-session rally ran out of  steam, though analysts still saw room to the upside given the  large short-base in the market.",Business,"['new', 'york', 'reuter', 'treasuri', 'price', 'paus', 'breath', 'tuesday', 'blister', 'two-sess', 'ralli', 'ran', 'steam', 'analyst', 'saw', 'room', 'upsid', 'given', 'larg', 'short-bas', 'market']",0
"Samsung Electronics, the world #39;s second largest computer chip manufacturer, yesterday said that it would invest Won25,000bn (\$24bn) in its semiconductor business by 2010 to generate",Business,"['samsung', 'electron', 'world', 'second', 'largest', 'comput', 'chip', 'manufactur', 'yesterday', 'invest', 'won', 'bn', 'bn', 'semiconductor', 'busi', 'generat']",0
"Caracas, Venezuela - The results of an audit support the official vote count showing that President Hugo Chavez won this month #39;s recall referendum in Venezuela, the head of the Organization of American States said Saturday.",Business,"['caraca', 'venezuela', 'result', 'audit', 'support', 'offici', 'vote', 'count', 'presid', 'hugo', 'chavez', 'won', 'month', 'recal', 'referendum', 'venezuela', 'head', 'organ', 'american', 'state', 'saturday']",0
"NEW YORK (Reuters) - If there were any doubts that we're  still living in the era of the stay-at-home economy, the rows  of empty seats at the Athens Olympics should help erase them.",Business,"['new', 'york', 'reuter', 'ani', 'doubt', ""we'r"", 'live', 'era', 'stay-at-hom', 'economi', 'row', 'empti', 'seat', 'athen', 'olymp', 'help', 'eras']",0
"When oil prices rise, public interest in alternative energy often does, too. But the logic is evidently escaping Wall Street.",Business,"['oil', 'price', 'rise', 'public', 'altern', 'energi', 'doe', 'logic', 'evid', 'escap', 'wall', 'street']",0
China will spend about \$3.4 billion over two to three years laying thousands of miles of oil pipelines to help secure its energy supply in the face of soaring prices and demand.,Business,"['china', 'spend', 'billion', 'year', 'lay', 'thousand', 'mile', 'oil', 'pipelin', 'help', 'secur', 'energi', 'suppli', 'face', 'soar', 'price', 'demand']",0
"CONSUMER goods maker Colgate-Palmolive said today it would cut about 12 per cent of its 37,000-person work force and close a third of its factories worldwide as part of a four-year restructuring.",Business,"['consum', 'good', 'maker', 'colgate-palmol', 'today', 'cut', 'cent', ',-', 'person', 'work', 'forc', 'close', 'factori', 'worldwid', 'four-year', 'restructur']",0
The price of oil looks set to grab headlines as analysts forecast that its record-breaking run may well continue.,Business,"['price', 'oil', 'look', 'set', 'grab', 'headlin', 'analyst', 'forecast', 'record-break', 'run', 'continu']",0
"AP - High oil prices, which have been a factor in virtually all U.S. recessions over the past three decades, are surging again this year. And the higher crude oil prices climb, the more risk energy costs pose to what, until recently, many expected to be a banner year for the U.S. economy.",Business,"['high', 'oil', 'price', 'factor', 'virtual', 'recess', 'past', 'decad', 'surg', 'year', 'higher', 'crude', 'oil', 'price', 'climb', 'risk', 'energi', 'cost', 'pose', 'recent', 'mani', 'expect', 'banner', 'year', 'economi']",0
"Japanese stocks have failed to measure up to an assessment made in April by Merrill Lynch #39;s chief global strategist, David Bowers, who said Japan was  quot;very much everyone #39;s favorite equity market.",Business,"['japanes', 'stock', 'fail', 'measur', 'assess', 'april', 'merril', 'lynch', 'chief', 'global', 'strategist', 'david', 'bower', 'japan', 'quot', 'veri', 'everyon', 'favorit', 'equiti', 'market']",0
"Aug. 23, 2004 (TheDeal.com) Problem-plagued Nortel Networks Corp. announced plans Thursday, Aug. 19, to eliminate an additional 3,500 jobs and fire seven more senior executives as the company labors to reinvent",Business,"['aug', 'thedeal.com', 'problem-plagu', 'nortel', 'network', 'corp', 'announc', 'plan', 'thursday', 'aug', 'elimin', 'addit', 'job', 'seven', 'senior', 'execut', 'compani', 'labor', 'reinvent']",0
"TOKYO - Japan #39;s benchmark Nikkei stock index briefly recovered to the 11,000 level Monday morning on widespread buying prompted by advances in US shares last Friday.",Business,"['tokyo', 'japan', 'benchmark', 'nikkei', 'stock', 'index', 'briefli', 'recov', 'level', 'monday', 'morn', 'widespread', 'buy', 'prompt', 'advanc', 'share', 'friday']",0
"Hong Kong Financial Secretary Henry Tang said he believed Hong Kong has walked out of the consumer price deflation cycle that lingered for 68 months, according to the consumer price index trend in the past few years.",Business,"['hong', 'kong', 'financi', 'secretari', 'henri', 'tang', 'believ', 'hong', 'kong', 'walk', 'consum', 'price', 'deflat', 'cycl', 'linger', 'month', 'accord', 'consum', 'price', 'index', 'trend', 'past', 'year']",0
"In terms of dollar value, of all the products in the world, nothing is traded more than oil. Crude oil traded above 47 dollars a barrel for the first time this week.",Business,"['term', 'dollar', 'valu', 'product', 'world', 'noth', 'trade', 'oil', 'crude', 'oil', 'trade', 'abov', 'dollar', 'barrel', 'time', 'week']",0
Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,Business,"['venezuela', 'presid', 'hugo', 'chavez', 'announc', 'longer', 'recogn', 'democrat', 'coordin', 'cd', 'opposit', 'coalit']",0
"AP - The productivity of America's workers grew at a 1.8 percent annual rate in the third quarter, the slowest pace in nearly two years, the government reported Tuesday.",Business,"['product', 'america', 'worker', 'grew', 'percent', 'annual', 'rate', 'quarter', 'slowest', 'pace', 'near', 'year', 'govern', 'report', 'tuesday']",0
Australian budget airline Virgin Blue announced Monday it will increase the fuel surcharge it adds to ticket prices from Aug. 26 because of soaring oil prices.,Business,"['australian', 'budget', 'airlin', 'virgin', 'blue', 'announc', 'monday', 'increas', 'fuel', 'surcharg', 'add', 'ticket', 'price', 'aug', 'becaus', 'soar', 'oil', 'price']",0
"LONDON, August 23 (New Ratings) - ARM Holdings (ARM.ETR) has agreed to buy Artisan Components Inc (ARTI), a US-based provider of integrated circuit designing solutions, for about \$913 million (503.",Business,"['london', 'august', 'new', 'rate', 'arm', 'hold', 'arm.etr', 'agre', 'buy', 'artisan', 'compon', 'arti', 'us-bas', 'provid', 'integr', 'circuit', 'design', 'solut', 'million']",0
LONDON (Reuters) - The dollar bounced off recent four-week  lows against the euro and yen on Monday in thin August trade  with investors focusing on U.S. data and a speech by the  Federal Reserve chief later in the week.,Business,"['london', 'reuter', 'dollar', 'bounc', 'recent', 'four-week', 'low', 'euro', 'yen', 'monday', 'august', 'trade', 'investor', 'focus', 'data', 'speech', 'feder', 'reserv', 'chief', 'later', 'week']",0
"NEW YORK (Reuters) - Retailer Kmart Holdings Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KMRT.O target=/stocks/quickinfo/fullquote""&gt;KMRT.O&lt;/A&gt;  on Monday said it finalized a deal to sell 18 of its stores to  Home Depot Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HD.N target=/stocks/quickinfo/fullquote""&gt;HD.N&lt;/A&gt; for \$271 million.",Business,"['new', 'york', 'reuter', 'retail', 'kmart', 'hold', 'corp', 'kmrt', 'o', 'monday', 'final', 'deal', 'sell', 'store', 'home', 'depot', 'hd', 'million']",0
Employers and workers are confused by eligibility and classification of the new regulations.,Business,"['employ', 'worker', 'confus', 'elig', 'classif', 'new', 'regul']",0
"Reuters - Southwest Airlines Inc. (LUV.N), the\largest U.S. discount carrier, on Monday said it will eliminate\88 scheduled flights in order to boost revenue by freeing up\planes for more lucrative markets.",Business,"['reuter', 'southwest', 'airlin', 'luv', 'largest', 'discount', 'carrier', 'monday', 'elimin', 'schedul', 'flight', 'order', 'boost', 'revenu', 'free', 'plane', 'lucrat', 'market']",0
"A business columnist has resigned from the Seattle Times after admitting he plagiarized the work of other journalists, said the newspaper.",Business,"['busi', 'columnist', 'resign', 'seattl', 'time', 'admit', 'plagiar', 'work', 'journalist', 'newspap']",0
"British students spend about \$1.8 billion on drink every year, nearly three times as much as they cough up for books, a survey released on Monday showed.",Business,"['british', 'student', 'spend', 'billion', 'drink', 'everi', 'year', 'near', 'time', 'cough', 'book', 'survey', 'releas', 'monday']",0
"Undergraduates in the city earn more than 90 a week on average, just behind Glasgow, Cambridge and Cardiff. Their hard-earned cash is likely to be spent on looking good and socialising, the",Business,"['undergradu', 'citi', 'earn', 'week', 'averag', 'just', 'glasgow', 'cambridg', 'cardiff', 'hard-earn', 'cash', 'like', 'spent', 'look', 'good', 'socialis']",0
"Defense contractor Northrop Grumman Corp. on Monday said it received a 10-year, \$408 million Army contract to provide simulated battle command training support to Army corps commanders - the latest award in",Business,"['defens', 'contractor', 'northrop', 'grumman', 'corp', 'monday', 'receiv', 'year', 'million', 'armi', 'contract', 'provid', 'simul', 'battl', 'command', 'train', 'support', 'armi', 'corp', 'command', 'latest', 'award']",0
